prompt,target,prediction
nah what else [OFFER(place_name=11 Howard); OFFER(star_rating=3)],"I have the 11 Howard, a 3 star hotel",I'm going to play the next movie.
Whats their number? [INFORM(phone_number=+1 212-235-1111)],You can reach them on +1 212-235-1111,What number are they?
Okay sounds great [OFFER_INTENT(intent=ReserveHotel)],Do you want me to book you a room?,"Okay, okay, okay, okay, okay."
Yes please. I need 3 rooms and we're staying 2 night [REQUEST(check_in_date=)],What is your preferred check in date?,I need 3 rooms and we're staying 2 nights.
On the 7th [CONFIRM(place_name=11 Howard); CONFIRM(check_in_date=March 7th); CONFIRM(stay_length=2); CONFIRM(location=New York); CONFIRM(number_of_rooms=3)],"Confirming you wish to book 3 rooms for 2 nights at the 11 Howard in New York, checking in on March 7th.",On the 7th [CONFIRM(place_name=11 Howard); CONFIRM(check_in_date=March 7th); CONFIRM(stay_length=2); CONFIRM(location=New York); CONFIRM(number_of_rooms=3)]
"Yes thanks, also whats the cost per night? [INFORM(price_per_night=$297); NOTIFY_SUCCESS]",I have successfully booked those rooms for you. the cost is $297 per night.,"Yes, I have a good day."
"Cool, whats the street address? [INFORM(street_address=11 Howard Street)]",The hotel is located at 11 Howard Street,What street address is 11 Howard Street?
Great thanks so much? [REQ_MORE],Is that all for now?,Have a great day!
"Yeah, thanks so much [GOODBYE]",Have a nice stay.,"Yeah, thanks so much for the good work."
I need to find a hotel. [REQUEST(location=)],What city would you like to look for hotels?,I need to find a hotel.
I want to look for hotels in Kuala Lumpur please. [OFFER(place_name=Alila Bangsar); OFFER(star_rating=5)],There is a 5 star hotel called Alila Bangsar.,I have booked a hotel in Kuala Lumpur for 5 stars.
That sounds great. [OFFER_INTENT(intent=ReserveHotel)],Would you like to make a reservation at this hotel?,That is great.
Yes. I want to make a reservation please. [REQUEST(stay_length=); REQUEST(check_in_date=)],When would you be arriving and how long are you staying for?,Yes. I have a reservation.
I am staying four days and arriving on the 10th of March. [CONFIRM(place_name=Alila Bangsar); CONFIRM(check_in_date=March 10th); CONFIRM(stay_length=4); CONFIRM(location=Kuala Lumpur); CONFIRM(number_of_rooms=1)],So you want me to make a reservation for 4 days at Alila Bangsar for 1 room I Kuala Lumpur for March 10th?,I am staying at Kalila Bangsar on the 10th of March.
Yes I do. What is the smoking policy at the hotel? [INFORM(smoking_allowed=False); NOTIFY_SUCCESS],There is no smoking allowed on the property. Your reservation is all set.,Yes I do. Is there any smoking policy at the hotel?
Thanks for all your help. [REQ_MORE],Can I do anything else for you?,I'm glad you have done it.
"No, I am all set. You have been very helpful. [GOODBYE]","Goodbye, Have a great day.",You have been very helpful.
I want to stay in a nice Hotel for a while and I need your help to search for the good one. Can you search it in Rio? [OFFER(place_name=Atlantico Copacabana Hotel); OFFER(star_rating=2)],What about a 2 star hotel named Atlantico Copacabana Hotel? Do you like to stay there?,the the the the hotel the hotel the hotel the hotel the hotel and. I want to stay in a nice Hotel in Rio. I have a good time the hotel. Is there anything else I can help you with?
Let me decide and I want to know their phone number. Is they allow smoking there? [INFORM(smoking_allowed=False); INFORM(phone_number=+55 21 2548-0011)],"No, smoking it not permitted there and their phone number is +55 21 2548-0011",Is there any smoking there?
That's okay and thanks. [OFFER_INTENT(intent=ReserveHotel)],Shall I reserve it now?,[OFFER_INTENT(intent=ReserveHotel)]
"Yes, I need to reserve it now and do it for me. [REQUEST(check_in_date=); REQUEST(stay_length=)]",Let me know the number of days that you want to stay in that hotel to book the same and from which date you need to book?,?
I want to book it from the 1st and I need it for four days. [CONFIRM(place_name=Atlantico Copacabana Hotel); CONFIRM(check_in_date=March 1st); CONFIRM(stay_length=4); CONFIRM(location=Rio de Janeiro); CONFIRM(number_of_rooms=1)],Please confirm to book 1 room for 4 days in Hotel Atlantico Copacabana Hotel from March 1st in Rio de Janeiro.,I have booked a reservation for 4 days at the Atlantico Copacabana Hotel in Rio de Janeiro.
"That is okay to proceed. I also want to know their address and cost per night. [INFORM(price_per_night=$62); INFORM(street_address=Rua Siqueira Campos, 90 - Copacabana); NOTIFY_SUCCESS]","It costs $62 per night and they are located at Rua Siqueira Campos, 90 - Copacabana. Your booking was confirmed.",I have a reservation for 62 nights.
Thank you for your information and help. [REQ_MORE],Anything else you need/,Thank you for your information and for your help.
"No, thanks and that's all. [GOODBYE]",Have a good day.,[GOODBYE]
"I am interested in finding a four star hotel in Toronto, and I am in need of one room. [OFFER(place_name=Bisha Hotel Toronto); OFFER(star_rating=4)]",There is a 4 star hotel which you might consider called Bisha Hotel Toronto.,I am interested in finding a four star hotel in Toronto.
Can you tell me how much it will cost me per night? [INFORM(price_per_night=$208)],The room at this hotel will cost you $208 per night.,Can you tell me how much it will cost me per night?
That seems nice. I want to make a booking at this hotel. [REQUEST(check_in_date=); REQUEST(stay_length=)],"Can you tell me when you are going to the hotel, and for how long you need the room?",I have booked a reservation at this hotel.
"I will be going at the hotel today, and I need to have the room for seven days. [CONFIRM(place_name=Bisha Hotel Toronto); CONFIRM(check_in_date=March 1st); CONFIRM(stay_length=7); CONFIRM(location=Toronto); CONFIRM(number_of_rooms=1)]","Can you please confirm that you want to have 1 room for 7 days at Bisha Hotel Toronto in Toronto, and that you are going to go there on March 1st?","I will be staying at the Bisha Hotel Toronto today, and need to have the room for seven days."
"Yes, that is good. Can you give me the address of the hotel, and a phone number I can use to call them? [INFORM(street_address=80 Blue Jays Way); INFORM(phone_number=+1 416-551-2800); NOTIFY_SUCCESS]","Your requested room has been booked. The hotel can be found at 80 Blue Jays Way, and if you want to call them you can at +1 416-551-2800.",Can you help me with the address of the hotel?
"Thank you, you did help me a lot. That would be all. [GOODBYE]","Later then, and have a nice day!","Thank you, you did help me a lot."
I'm looking for a hotel. [REQUEST(location=)],What area are you looking for a hotel?,I'm looking for a hotel.
I want a hotel in Cape Town. [OFFER(place_name=12 Apostles Hotel & Spa); OFFER(star_rating=5); INFORM_COUNT(count=10)],I found 10 hotels for you. How about the 5 star 12 Apostles Hotel & Spa?,I want a hotel in Cape Town.
"What is the phone number and address? [INFORM(street_address=Victoria Street, Camps Bay); INFORM(phone_number=+27 21 437 9000)]","The phone number is +27 21 437 9000 and the address is Victoria Street, Camps Bay.",What is the phone number and address?
"Okay, that sounds good. [OFFER_INTENT(intent=ReserveHotel)]",Do you want to make a reservation?,"Okay, that sounds good."
"Yes, I'd like a reservation for six days, checking in on March 7th. [CONFIRM(place_name=12 Apostles Hotel & Spa); CONFIRM(check_in_date=March 7th); CONFIRM(stay_length=6); CONFIRM(location=Cape Town); CONFIRM(number_of_rooms=1)]","Okay, I have a reservation checking in on March 7th for 1 room at the 12 Apostles Hotel & Spa in Cape Town for 6 days, right?","I'd like to book a reservation for six days, checking in on March 7th."
"Yes, that is correct. Does the hotel allow smoking in the hotel? [INFORM(smoking_allowed=False); NOTIFY_SUCCESS]",I have successfully confirmed the reservation. Smoking is not allowed on property.,"Yes, the hotel does allow smoking in the hotel."
Thank you [REQ_MORE],Is there anything else I can help with?,Vielen Dank [REQ_MORE]
"No, thank you. [GOODBYE]",Have a great day.,Is there anything else I can do to help you with?
I am searching for a hotel. [REQUEST(location=)],In which city do you need the hotel?,I am looking for a hotel.
I need hotels in Phoenix. [OFFER(place_name=Ac Hotel By Marriott Phoenix Biltmore); OFFER(star_rating=3); INFORM_COUNT(count=10)],I searched and found 10 hotels. A 3 star hotel Ac Hotel By Marriott Phoenix Biltmore.,I need hotels in Phoenix.
Whether the smoking is permitted in hotel? [INFORM(smoking_allowed=False)],Nope. Smoking is prohibited in the property.,Is there any smoking permitted in hotel?
What is the cost per night? What is the street address? [INFORM(price_per_night=$117); INFORM(street_address=2811 East Camelback Road)],The address is 2811 East Camelback Road. The cost is $117 per night.,What street address is the street address?
Please search for some other hotels with my criteria. [OFFER(place_name=Aloft Phoenix-Airport); OFFER(star_rating=3)],A 3 star hotel Aloft Phoenix-Airport.,I have found a hotel in Phoenix.
It is good. [OFFER_INTENT(intent=ReserveHotel)],Shall I reserve the hotel?,It is good.
Yes. I wish to reserve it. [REQUEST(check_in_date=); REQUEST(stay_length=)],When do you want to check in? For how many days do you want to stay?,I have a reservation.
I wish to check in on March 12th and I want to stay for 2 days. [CONFIRM(place_name=Aloft Phoenix-Airport); CONFIRM(check_in_date=March 12th); CONFIRM(stay_length=2); CONFIRM(location=Phoenix); CONFIRM(number_of_rooms=1)],"Kindly ensure that, on March 12th, you need 1 room in Aloft Phoenix-Airport at Phoenix. You need it for 2 days.",I wish to check in on March 12th and stay for 2 days.
Sure. It is good. What is their contact phone number? Whether the smoking is allowed? [INFORM(smoking_allowed=False); INFORM(phone_number=+1 602-275-6300); NOTIFY_SUCCESS],"Booking made successfully. No, smoking is not allowed there. The contact number if +1 602-275-6300.",What is their contact number?
Thank you so much for your help. [REQ_MORE],Do you need any other help?,Thank you so much for your help.
Nope. Thank you. You are highly helpful. [GOODBYE],"Bye, have a fantastic day.",You are very helpful.
Find me a hotel [REQUEST(location=)],What city do you want me to look in?,Find me a hotel [REQUEST(location=)]
I'd like to find hotels in SD. [OFFER(place_name=Bahia Resort Hotel); OFFER(star_rating=3); INFORM_COUNT(count=10)],I have 10 hotels that match. How about a 3 star hotel called Bahia Resort Hotel?,I'd like to find hotels in SD.
That sounds good. I'd like to reserve it. I'll need the hotel for two days. [REQUEST(check_in_date=)],When will you check in?,I'm booking a room for 2 days.
I would like to check in on Sunday this week. [CONFIRM(place_name=Bahia Resort Hotel); CONFIRM(check_in_date=March 3rd); CONFIRM(stay_length=2); CONFIRM(location=San Diego); CONFIRM(number_of_rooms=1)],Could you confirm that you want to book at Bahia Resort Hotel for March 3rd for 2 nights in San Diego California and that you need 1 room?,I would like to check in on Sunday this week at Bahia Resort Hotel in San Diego.
"Sure, sounds great. [NOTIFY_SUCCESS]",I have made the hotel booking successfully.,"Sure, sounds great."
"Thank you, that was very helpful. [REQ_MORE]",Could I help with something else?,Thank you for your help.
No but thank you for helping. [GOODBYE],"Bye, have a great day.",Thank you for your help.
I need to attend a conference so i need a hotel to stay. Will you find me a hotel ? [REQUEST(location=)],At which city should i need to search for?,I need a hotel to stay at.
"I need hotels in London, UK. [OFFER(place_name=45 Park Lane); OFFER(star_rating=5); INFORM_COUNT(count=10)]",i found 10 hotels that suits your needs. there is a hotel called 45 Park Lane. It is a 5 star hotel.,"I need hotels in London, UK."
Is smoking allowed in the hotel? [INFORM(smoking_allowed=False)],"No, smoking is not allowed on the hotel.",Is smoking allowed in the hotel?
Ok sounds good. I like to reserve the hotel and i will check in on 6th of March. I need 1 rooms. [REQUEST(stay_length=)],ok sure. How long will you be staying over there?,I have 1 room.
i'll be staying for 7 days. [CONFIRM(place_name=45 Park Lane); CONFIRM(check_in_date=March 6th); CONFIRM(stay_length=7); CONFIRM(location=London); CONFIRM(number_of_rooms=1)],Please check and confirm the following details. Hotel is found at 45 Park Lane and Check in Date is on March 6th and You will be staying for 7 days. It is in London. You want 1 rooms.,I'll be staying at 45 Park Lane for 7 days.
Ok that sounds good . What is their Phone Number? [INFORM(phone_number=+44 20 7493 4545); NOTIFY_SUCCESS],Hotel is booked successfully. Their Phone number is +44 20 7493 4545.,What is their Phone Number?
Thanks a lot for your help. that's all i need [GOODBYE],Bye have a great day,i've found a lot of help.
I'm searching for a hotel in Cape town that has five stars. [OFFER(place_name=12 Apostles Hotel & Spa); OFFER(star_rating=5); INFORM_COUNT(count=10)],I discovered 10 hotels suitable for you. There's a 5 star hotel known as 12 Apostles Hotel & Spa.,I'm looking for a hotel in Cape town that has five stars.
"Does the hotel permit smoking, and where is the hotel located? [INFORM(street_address=Victoria Street, Camps Bay); INFORM(smoking_allowed=False)]","Smoking is not permitted, and the hotel is located at Victoria Street, Camps Bay.","Does the hotel permit smoking, and where is the hotel located?"
That's fine for me. [OFFER_INTENT(intent=ReserveHotel)],Do you wish to book the hotel?,[OFFER_INTENT(intent=ReserveHotel)]
"Yeah, I intend to book for two days with a check-in date on the 3rd. [CONFIRM(place_name=12 Apostles Hotel & Spa); CONFIRM(check_in_date=March 3rd); CONFIRM(stay_length=2); CONFIRM(location=Cape Town); CONFIRM(number_of_rooms=1)]","Please verify the following information: you are checking in the 12 Apostles Hotel & Spa on March 3rd for 2 days and with 1 room, situated in Cape Town.",I have booked a check-in on the 3rd of March at 12 Apostles Hotel & Spa.
"Yeah, that's good for me. How much does it cost per day? [INFORM(price_per_night=$320); NOTIFY_SUCCESS]","I completed the hotel reservation, and the price is $320 per day.",Is it worth 320 dollars per night?
Thank you; you have been a great help. [REQ_MORE],Could I assist you with something else?,Thank you.
Nope; thank you; you have been a great assistance. [GOODBYE],Have a pleasant afternoon; goodbye!,You have been a great help.
I am looking for a four star hotel in NYC with two rooms [OFFER(place_name=6 Columbus - Central Park hotel); OFFER(star_rating=4); INFORM_COUNT(count=10)],there are 10 hotels matching your criteria 6 Columbus - Central Park hotel is good 4 star hotel,I am looking for a four star hotel in NYC with two rooms.
great [OFFER_INTENT(intent=ReserveHotel)],Would you like to make a reservation,The hotel is a great place to stay.
yes I am looking to book [REQUEST(check_in_date=)],what is your check in date,I have a book now.
make it on day after tomorrow [REQUEST(stay_length=)],How long will you be here,Have a good day after tomorrow.
I will be staying for 5 days [CONFIRM(place_name=6 Columbus - Central Park hotel); CONFIRM(check_in_date=March 3rd); CONFIRM(stay_length=5); CONFIRM(location=New York); CONFIRM(number_of_rooms=2)],please confirm you want to find a hotel in 6 Columbus - Central Park hotel in New York for 2 rooms and the checking date is March 3rd for 5 days,I will be staying at the Columbus - Central Park hotel for 5 days.
What is the total price and phone number [INFORM(price_per_night=$300); INFORM(phone_number=+1 212-204-3000); NOTIFY_SUCCESS],your booking is successfully made it cost $300 per night and the phone number +1 212-204-3000,What is the total price and phone number?
thanks a lot that's all for now [GOODBYE],bye have a nice day,I'm so glad you've done it.
Hello. I need to find a hotel. [REQUEST(location=)],"Okay, great! What city would you like to stay in?",Hello. I need to find a hotel.
Portland [OFFER(place_name=Aloft Portland Airport at Cascade Station); OFFER(star_rating=3); INFORM_COUNT(count=10)],Perfect! I found 10 hotels you might like. I recommend Aloft Portland Airport at Cascade Station. It's a 3 star hotel.,Is there anything else I can do?
"Do you have anything else? Although, I am looking for a three star hotel with two rooms. [OFFER(place_name=Clarion Hotel Portland International Airport); OFFER(star_rating=3)]",How about the Clarion Hotel Portland International Airport? It's a 3 star hotel.,I am looking for a three star hotel with two rooms.
What's the price per night? Do they have any smoking rooms? [INFORM(price_per_night=$252); INFORM(smoking_allowed=True)],"It costs $252 per night. Yes, they do have smoking rooms!",What price per night? Do they have smoking rooms?
Sounds great! [OFFER_INTENT(intent=ReserveHotel)],Would you like me to make a reservation?,Sounds great!
"Yes, please! [REQUEST(stay_length=)]",Okay! How long would you like to stay?,[REQUEST(stay_length=)]
I'd like to check in on the 3rd for six days. [CONFIRM(place_name=Clarion Hotel Portland International Airport); CONFIRM(check_in_date=March 3rd); CONFIRM(stay_length=6); CONFIRM(location=Portland); CONFIRM(number_of_rooms=2)],"Thanks! Can you confirm the following details, please? You'll be staying at the Clarion Hotel Portland International Airport for 6 days. You're checking in on March 3rd in Portland, and the room has 2 rooms.",I'd like to check in on the 3rd for six days.
"Yes, correct. Tell me, what's their phone number? [INFORM(phone_number=+1 503-252-2222); NOTIFY_SUCCESS]",The room is booked! The hotel's phone number is +1 503-252-2222.,"Yes, they're calling their phone number."
Thank you! [REQ_MORE],You're welcome! Can I help you with anything else?,Thank you for your wonderful day!
"No, that's all. [GOODBYE]","Bye, have a good day!",[GOODBYE]
I need to find a hotel. [REQUEST(location=)],In which city do you want to look for a hotel?,I need to find a hotel.
I am looking in NY for a hotel. [OFFER(place_name=1 Hotel Brooklyn Bridge); OFFER(star_rating=5); INFORM_COUNT(count=10)],"I have found 10 hotels, including a 5 star hotel called 1 Hotel Brooklyn Bridge.",I am looking for a hotel in Brooklyn Bridge in NY.
That sounds great. I need to make a reservation for one room. [REQUEST(stay_length=); REQUEST(check_in_date=)],When would you like to check in and how long will you be staying?,I have a room for you.
I will be stay at the hotel four days and want to check in next Wednesday. [CONFIRM(place_name=1 Hotel Brooklyn Bridge); CONFIRM(check_in_date=March 6th); CONFIRM(stay_length=4); CONFIRM(location=New York); CONFIRM(number_of_rooms=1)],So you want me to Book a Hotel for 1 room at the 1 Hotel Brooklyn Bridge in New York for March 6th for 4 days?,I will be staying at the hotel four days and want to check in next Wednesday.
"Yes, I do. Thanks!! [NOTIFY_SUCCESS]",Your reservation has been made at the hotel.,Thank you.
Can I smoke at the hotel? [INFORM(smoking_allowed=True)],"Yes, you can smoke at this hotel?",Can I smoke at the hotel?
Thanks for all your help. [REQ_MORE],Can I do anything else?,I'm glad you have done it.
No. You have been great. Thanks. [GOODBYE],Goodbye. Have a great day.,You have been great.
I'm searching for a hotel. [REQUEST(location=)],What metropolis ought I search for hotels at?,I'm looking for a hotel.
"I'm searching for hotels in Los Angeles, since I require one room. [OFFER(place_name=Ac Hotel By Marriott Beverly Hills); OFFER(star_rating=3); INFORM_COUNT(count=10)]",I discovered 10 hotels suitable for you. There is a 3 star hotel known as Ac Hotel By Marriott Beverly Hills.,"I'm searching for hotels in Los Angeles, which are located at Ac Hotel By Marriott Beverly Hills."
Do you have some alternative hotels suitable for me? [OFFER(place_name=Airtel Plaza Hotel); OFFER(star_rating=3)],There is a 3 star hotel known as the Airtel Plaza Hotel.,Is there any other hotel that you like?
That's perfect. I want to book the hotel for three days. [REQUEST(check_in_date=)],What time do you intend to check in?,I'm booking a hotel for three days.
I in tend to check in on the 11th of this month. [CONFIRM(place_name=Airtel Plaza Hotel); CONFIRM(check_in_date=March 11th); CONFIRM(stay_length=3); CONFIRM(location=Los Angeles); CONFIRM(number_of_rooms=1)],"Please verify the following information: you'd like 1 room for 3 days at the Airtel Plaza Hotel, located in Los Angeles, with the check-in day being March 11th.",I have a good time. I have a good time.
"Yeah, that's fine with me. How much does it cost, and what is their contact number? [INFORM(price_per_night=$144); INFORM(phone_number=+1 818-997-7676); NOTIFY_SUCCESS]","Your hotel reservation is complete. The hotel price is $144 per day, and their contact number is +1 818-997-7676.",Is there anything else I can help you with?
Thank you; you've been a huge assistance. [REQ_MORE],Could I assist you with something else?,Thank you.
Nope; thank you for your helpful assistance. [GOODBYE],"Farewell, and have a pleasant day!",You have a great day.
Hello. Can you help me find a three star hotel in London? I need a hotel that allows smoking. [OFFER(place_name=Abbey Court Hotel (Hyde Park)); OFFER(star_rating=3); INFORM_COUNT(count=10)],I've found 10 hotels that match your criteria. How about the 3 star hotel called Abbey Court Hotel (Hyde Park)?,I have a room for smoking.
"Okay, that sounds good. Go ahead and start making the reservation, I will be staying for two days. [REQUEST(check_in_date=)]","No problem, what is your preferred check in date?","Okay, that sounds good. Go ahead and start making the reservation."
I'd like to check on on Thursday next week. [CONFIRM(place_name=Abbey Court Hotel (Hyde Park)); CONFIRM(check_in_date=March 7th); CONFIRM(stay_length=2); CONFIRM(location=London); CONFIRM(number_of_rooms=1)],"Before we get started, please confirm the following for me. You want to reserve 1 room at Abbey Court Hotel (Hyde Park) in London for March 7th. You will be staying for a total of 2 days. Correct?",I'd like to check on on Thursday next week at Abbey Court Hotel (Hyde Park)
"Yes, that sounds good. What's the price per night? [INFORM(price_per_night=$315); NOTIFY_SUCCESS]",The price will be $315 a night. Your room has been successfully booked.,What is the price per night?
"Okay, thanks. What is their number? [INFORM(phone_number=+44 20 7402 0281)]",The phone number is +44 20 7402 0281.,What number are they?
"Okay, thanks. You've been a great help. [REQ_MORE]",Is there anything else I can help you with?,"Okay, thanks. You've been great help."
No thanks. Appreciate the assist. [GOODBYE],My pleasure. Have a great day.,Thank you.
I need help finding a hotel. [REQUEST(location=)],What city would you like to find a hotel in?,I have a room for you.
"I want a hotel in Sydney, Australia. [OFFER(place_name=1831 Boutique Hotel); OFFER(star_rating=3); INFORM_COUNT(count=10)]",I have 10 hotels that can work. There's a 3 star hotel called 1831 Boutique Hotel you might like.,"I want a hotel in Sydney, Australia."
Sounds nice. Please make me a reservation there. [REQUEST(stay_length=)],How many days will you be there?,Is there anything else I can help you with?
I'll be there for two days. [REQUEST(check_in_date=)],And what's your check in date?,I'll be there for two days.
I want to check in on the 7th of March. [CONFIRM(place_name=1831 Boutique Hotel); CONFIRM(check_in_date=March 7th); CONFIRM(stay_length=2); CONFIRM(location=Sydney); CONFIRM(number_of_rooms=1)],I'll book you 1 room at 1831 Boutique Hotel in Sydney for 2 days starting on March 7th. Is that right?,I want to check in on the 7th of March at 1831 Boutique Hotel in Sydney.
"Yes, that's right. [NOTIFY_SUCCESS]",I've booked the room for you.,"Yes, that's right."
Is smoking permitted there? And can you give me their address? [INFORM(street_address=631-635 George Street); INFORM(smoking_allowed=True)],"Yes, smoking is allowed. They are located at 631-635 George Street.",Is smoking permitted there?
"Thanks, you've been of great help. I don't need anything else. [GOODBYE]",Goodbye and have a terrific day.,I'm glad you've helped me.
I am going on a trip and need a hotel room. [REQUEST(location=)],Do you have a preferred city to stay in?,I am going on a trip and need a hotel room.
"Yes, thanks for asking. New Delhi please. [OFFER(place_name=Aloft New Delhi Aerocity); OFFER(star_rating=5)]",I found a hotel with a 5 star rating called Aloft New Delhi Aerocity.,New Delhi Aerocity is a great place to start.
Sweet. Please make me a reservation at that hotel. [REQUEST(check_in_date=); REQUEST(stay_length=)],Do you know how long you would like to stay? When you would like to check in?,Please make me a reservation at Sweet.
"Yes, I would like to stay for 5 days with a preferred check in on Tuesday next week. [CONFIRM(place_name=Aloft New Delhi Aerocity); CONFIRM(check_in_date=March 5th); CONFIRM(stay_length=5); CONFIRM(location=Delhi); CONFIRM(number_of_rooms=1)]",Let me know if these details are correct. You would like to check in the Aloft New Delhi Aerocity in Delhi on March 5th. You would like 1 room for 5 nights.,I would like to stay for 5 days with a preferred check in on Tuesday next week.
"The details are correct. What is the hotel smoking policy? I also need the address please. [INFORM(street_address=5B IGI T3 Road Delhi Aerocity, New Delhi); INFORM(smoking_allowed=False); NOTIFY_SUCCESS]","The hotel has a no smoking policy. You can find the hotel at 5B IGI T3 Road Delhi Aerocity, New Delhi. Your reservation has been made.",The details are correct. I have a reservation for the hotel smoking policy.
"That's perfect, thanks so much. I'm set for the time being. [GOODBYE]",Talk to you later.,I'm ready for the moment.
I am in a nice mood and I like to listen some nice songs. Can you search for me the best one? [OFFER(track=Nixta Ginontai Ta Thavmata); OFFER(artist=Malou Kyriakopoulou); OFFER(album=Ores Aixmis)],"Yes, what about your opinion on Nixta Ginontai Ta Thavmata by Malou Kyriakopoulou from the album Ores Aixmis. Hope you will like it.",????Ores AixmisNixta Ginontai Ta Thavmata? I am in a nice mood and I like to listen some nice songs. I like to listen some nice songs. I like to listen some nice songs. I like to listen some nice songs.
Let me know the type of this song and also check whether it is from '16? [INFORM(genre=Pop); INFORM(year=2019)],"No, it is from the year 2019 and it is a Pop type song.",Let me know what song you're playing?
That's great and I like the same. [OFFER_INTENT(intent=PlayMedia)],Shall I play it for you now?,I'm not playing the game.
"Yes, do it for me. [CONFIRM(track=Nixta Ginontai Ta Thavmata); CONFIRM(device=Living room)]",Please confirm to play the song Nixta Ginontai Ta Thavmata in Living Room.,I can help you with this.
That is confirmed to proceed. [NOTIFY_SUCCESS],Song started playing. Enjoy the same.,That is confirmed to proceed.
Thanks & that's all. [GOODBYE],Have a good day.,& that's all.
Find me some music okay? [OFFER(track=Malibu); OFFER(artist=Miley Cyrus); OFFER(album=Younger Now); INFORM_COUNT(count=10)],I came up with 10 so far. Would you like to hear a song from the Miley Cyrus album Younger Now? It's called Malibu.,You have a good day.
What year was that in? [INFORM(year=2017)],2017 is the release date.,What year was that in?
Okay play that one. [OFFER_INTENT(intent=PlayMedia)],Play that song?,"Okay, play that one."
Yes if you would please. [CONFIRM(track=Malibu); CONFIRM(device=Living room)],So I will play Malibu in the Living Room right?,"Yes, please."
That is right. [NOTIFY_SUCCESS],Have a pleasant listening experience.,[NOTIFY_SUCCESS]
I appreciate that. [REQ_MORE],Can I be of further assistance?,I appreciate your help.
Not right now thanks. [GOODBYE],Have a most wonderful day!,Is there anything else I can do.
Can you recommend a song to listen to? [OFFER(track=Roller Coaster); OFFER(artist=Luke Bryan); OFFER(album=Crash My Party)],I'd be happy to help. May I suggest Roller Coaster from the album Crash My Party by Luke Bryan.,Can you recommend a song to listen to?
Perfect! I love that song. [OFFER_INTENT(intent=PlayMedia)],Do you want me to play it now?,I love that song.
"Yes, I'd like to listen to it now. [CONFIRM(track=Roller Coaster); CONFIRM(device=Living room)]",You'd like to hear Roller Coaster played in the Living room. Is that correct?,"Yes, I'd like to listen to it now."
"Yes, that will be perfect. [NOTIFY_SUCCESS]",Your selection has begun streaming.,"Yes, that will be perfect."
Great! Thank you for the help. [GOODBYE],You're welcome. Have a wonderful day.,Thank you for the help.
Please find me any of the songs that I've played the most this week. [OFFER(track=Strangers); OFFER(artist=Sigrid); OFFER(album=Sucker Punch)],"How about Strangers by Sigrid, from her album Sucker Punch?",I've played some of the songs that I've played this week.
Cool! That's the song I'd like you to play. [CONFIRM(track=Strangers); CONFIRM(device=Living room)],Sure! Please confirm that you'd like to play Strangers in the Living room.,Cool! That's the song I'd like you to play.
You got that right. [NOTIFY_SUCCESS],Do enjoy listening to your music.,You got that right.
Thank you very much. That will be all. [GOODBYE],Do have yourself a great day!,Thank you for your wonderful day.
Can you search for some songs from 2015? [OFFER(track=Back It Up); OFFER(artist=Prince Royce); OFFER(album=Double Vision); INFORM_COUNT(count=10)],"I found 10 songs for you. What about Back It Up by Prince Royce, from the album Double Vision?",Can you search for some songs from 2015?
What genre of music is that song? [INFORM(genre=Pop)],It is a Pop song.,What genre of music is that song?
That sounds good. [OFFER_INTENT(intent=PlayMedia)],Would you like to listen to the song now?,That is good.
"Yeah, play it on the kitchen device, please. [CONFIRM(track=Back It Up); CONFIRM(device=Kitchen)]","You would like to play the song Back It Up in on the device in the Kitchen, is this correct?",Is there anything else I can do?
"Yes, go ahead. [NOTIFY_SUCCESS]",Enjoy the music!,"Yes, go ahead."
Thank you! [REQ_MORE],Is there anything else I can help you with?,Thank you for your wonderful day!
"No, I'm fine for now, thank you! [GOODBYE]",Have a great day!,I'm sorry.
I am looking for some nice songs. [OFFER(track=Black Widow); OFFER(artist=Iggy Azalea); OFFER(album=The New Classic)],How about Black Widow by Iggy Azalea from the album The New Classic?,I have a nice song.
"Yes, That is music I am looking for. [OFFER_INTENT(intent=PlayMedia)]",Do you want me to play the song for you?,"Yes, that is music I am looking for."
"Yes, Play the song on my living room. [CONFIRM(track=Black Widow); CONFIRM(device=Living room)]",Please confirm: You want me to play Black Widow in Living room.,"Yes, Play the song on my living room."
"Yes, That sounds perfect. [NOTIFY_SUCCESS]",Your music is playing. Enjoy!,[NOTIFY_SUCCESS]
Can you confirm whether it came out three years back and find the type of the music? [INFORM(genre=Pop); INFORM(year=2014)],The type is Pop song and it came out in 2014.,Can you confirm whether it came out three years ago and find the type of the music?
That will be all. Thank you! [GOODBYE],I am glad I could help. Have a nice day!,Thank you!
I'm in the mood for some music and would like to play some songs. [OFFER(track=Masterpiece); OFFER(artist=Jessie J); OFFER(album=Sweet Talker)],"Okay, what about Masterpiece by Jessie J from the Sweet Talker album?",I'm in the mood for some music and would like to play some songs.
Did that song come out six years ago? [INFORM(year=2014)],The song came out in 2014.,Did that song come out six years ago?
What kind of music is it? [INFORM(genre=Pop)],This is a Pop song.,What genre of music is it?
"Yes, that's the one I'm thinking of. [REQ_MORE]",Is there anything else I can do for you?,"Yes, that's what I'm thinking of."
"Yes, please play that song on any device. [CONFIRM(track=Masterpiece); CONFIRM(device=Living room)]","Okay, let's confirm: Playing the song Masterpiece in the Living room.","Yes, please play the song on any device."
